,1,3,5,7,9
2021-06-10T05:51:55+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:58+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:01+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:04+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:07+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:10+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:13+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:16+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:52:19+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:22+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:25+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:28+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:31+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:34+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:37+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:40+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:43+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:46+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:49+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:52+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:55+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:52:58+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:01+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:04+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:07+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:10+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:13+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:16+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:19+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:22+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:25+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:28+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:31+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:34+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:37+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:40+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:43+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:46+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:49+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:52+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:53:55+00:00,-0.47,19.87,50.00,21.50,21.01
2021-06-10T05:53:58+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:01+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:04+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:07+00:00,-0.24,19.87,49.00,21.50,20.98
2021-06-10T05:54:10+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:14+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:16+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:20+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:22+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:25+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:28+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:31+00:00,-0.47,19.87,49.00,21.50,20.98
2021-06-10T05:54:34+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:37+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:40+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:43+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:46+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:49+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:52+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:55+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:54:58+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:55:01+00:00,-0.47,19.87,50.00,21.50,21.01
2021-06-10T05:55:04+00:00,-0.24,19.87,50.00,21.50,21.01
